id,Province_id,Province,Year, Waste , Visitor , Population , Waste_Head , Waste_Pop , Waste_Visitor , %Waste_Pop , %Waste_Visitor , %Waste_Visitor by Waste_Pop , Proper_Disposal , %Proper_Disposal 
21,TH30,Nakhon Ratchasima,2557,826451,7063059,2620517,0.85,2236.48,27.77,98.77,1.23,1.24,151757.00,18.36
22,TH80,Nakhon Si Thammarat,2557,395945,3091896,1548028,0.69,1072.54,12.24,98.87,1.13,1.14,28134.00,7.11
23,TH60,Nakhon Sawan,2557,404318,1241250,1072756,1.03,1101.85,5.87,99.47,0.53,0.53,206061.00,50.97
24,TH12,Nonthaburi,2557,590165,1730885,1173870,1.37,1607.89,9.00,99.44,0.56,0.56,590165.00,100.00
25,TH96,Narathiwat,2557,230266,589690,774799,0.81,628.11,2.76,99.56,0.44,0.44,110463.00,47.97
26,TH55,Nan,2557,163911,652992,478264,0.93,445.87,3.20,99.29,0.71,0.72,59794.00,36.48
27,TH38,Bueng Kan,2557,124595,477364,418566,0.81,339.57,1.79,99.48,0.52,0.53,58938.00,47.30
28,TH31,Buri Ram,2557,566988,1248763,1579248,0.98,1547.71,5.68,99.63,0.37,0.37,81003.00,14.29
29,TH13,Pathum Thani,2557,542275,1613073,1074058,1.38,1476.92,8.77,99.41,0.59,0.59,36626.00,6.75
30,TH77,Prachuap Khiri Khan,2557,215953,4660994,525107,1.07,559.26,32.40,94.52,5.48,5.79,86316.00,39.97
31,TH25,Prachin Buri,2557,159665,1293107,479314,0.90,432.33,5.11,98.83,1.17,1.18,2593.00,1.62
32,TH94,Pattani,2557,197591,237925,686186,0.79,540.23,1.11,99.79,0.21,0.21,154931.00,78.41
33,TH14,Phra Nakhon Si Ayutthaya,2557,414357,6698561,803599,1.37,1100.40,34.83,96.93,3.07,3.16,64940.00,15.67
34,TH56,Phayao,2557,175057,536268,484454,0.98,477.14,2.47,99.49,0.51,0.52,52373.00,29.92
35,TH82,Phangnga,2557,116417,3730398,261370,1.13,296.38,22.57,92.92,7.08,7.62,72861.00,62.59
36,TH93,Phatthalung,2557,189099,1236012,520419,0.99,512.94,5.14,99.01,0.99,1.00,91075.00,48.16
